ID,sense,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,econ,net_econ_value_normed,biodiversity_normed,net_ghg_co2e_normed,carbon_normed,cropland_value_normed,forestry_value_normed,grazing_value_normed,grazing_methane_normed,production_value_normed,transition_cost_normed,nitrate_cancer_cases_normed,ground_noxn_normed,noxn_in_drinking_water_normed,surface_noxn_normed,econ_normed,biodiversity_normed_urban,biodiversity_normed_econ,avg_noxn,distance,distance_urban,distance_econ
1.0,0,1242855564.585849,1785468.319851,759112228.1390454,268601570.027462,854334173.9609201,97813943.375142,290707447.249787,11288009764.749094,1242855564.585849,0.0,5016.428004,15471456.681433,9821914.734234,6787422.60527,1242855564.585849,0.8407373096252534,0.7652832588831735,0.20600939691042933,0.26727665088829705,0.670400154042829,0.2536660029042867,0.6644241588032185,0.666257775366956,0.7558892381549405,0.0,0.9994114204064284,0.9692143264825948,0.971290913525359,0.9737741405522347,0.8407373096252534,0.4945627834595544,0.27163031289184036,11129439.643351499,0.0,0.0,0.0
1.0,1,1478292387.3568,1779295.740782,858717056.5160722,273175976.967232,1274364525.1405182,186102901.29351497,183762312.32974505,7146409618.188926,1644229738.7637782,165937351.406978,5019.382310000001,15962884.842593005,10112227.549401,6970222.685746,1478292387.3568,1.0,0.7626375824670091,0.23304035473549492,0.27182849385234564,1.0,0.48263036404699516,0.4199965324057058,0.42180606442639845,1.0,0.016560273887571243,1.0,1.0,1.0,1.0,1.0,0.4888656043095283,0.2634202870783345,11466553.764169503,0.16156199067244106,0.16164075932947844,0.16174882302570648
2.0,1,-10006693920.69746,2333081.6388910003,3681723504.223772,1004110335.0293292,115926.200744,47160.092162,18634.955829,719544.1883779999,181721.248735,10006875641.946194,4944.005805,14821286.266181,8949821.670477,5797238.413085,-10006693920.69746,-6.769089800015488,1.0,0.9991534987592956,0.9991574041861562,9.096784982398765e-05,0.00012230272763312928,4.2590979240995444e-05,4.247001200548697e-05,0.00011052059481154256,0.9986696785527066,0.9849829121703222,0.9284841939493335,0.8850494736945613,0.8317149500747321,-6.769089800015488,1.0,1.0,10309262.339633,7.654648140409937,7.667725411410149,7.685640416127913
3.0,1,-10007354317.783527,2331818.218315,3684842728.164964,1004957107.681354,10447236.441406,1492.444159,0.0,0.0,10448728.885565,10017803046.669092,4943.973846,14837299.631509002,8957863.511877999,5800987.896722,-10007354317.783527,-6.769536529696108,0.999458475625139,1.0,1.0,0.00819799691164036,3.87043330744184e-06,0.0,0.0,0.0063547864627609306,0.9997602155147419,0.9849765450522137,0.9294873563154038,0.8858447328362008,0.8322528788907896,-6.769536529696108,0.9988338855958199,0.9983195491825501,10319143.764115501,7.655163422121684,7.668179596990628,7.686011074243544
4.0,1,375088858.9033541,1987759.197606,1762905668.586652,499938019.076898,203264090.571014,381996831.564123,90101638.263911,3510020068.09869,675362560.399048,300273701.495694,4962.7307980000005,14894038.415269002,9067416.853821,5936990.0794250015,375088858.9033541,0.25373117125632794,0.8519887021831156,0.47842087129308,0.49747199682020204,0.15950231394631847,0.9906523143979367,0.20593110282053434,0.2071736480391666,0.4107470777817353,0.029966819982606963,0.9887134494841856,0.933041775477071,0.8966784825127981,0.8517647637809415,0.25373117125632794,0.6812736150427836,0.5406934240549229,10415514.247347001,0.6529181049381056,0.6735318496467918,0.7008417622023426
5.0,1,1474627180.0480833,1799058.7650080002,951880263.439286,294288231.53605,1261932797.465284,208673206.87221295,163475564.43491602,6358829276.311533,1634081568.7724133,159454388.72433,5018.721146000001,15932313.042749,10082101.021908,6940404.891929,1474627180.0480833,0.9975206479177843,0.7711083637275372,0.25832317242839786,0.2928366089325289,0.9902447632290586,0.5411631151346243,0.3736303125775186,0.3753203209306191,0.9938280097044134,0.015913284908192847,0.9998682778160407,0.998084819871504,0.9970207822810727,0.9957221174758193,0.9975206479177843,0.5071065192177381,0.2897066962493856,11436358.967339,0.16538342759037986,0.16575612079759144,0.16626635832417672
6.0,1,1477487305.871493,1790518.326519,904233942.3257248,283629071.439239,1269824963.5737302,196935012.407738,174494610.930058,6786965980.907573,1641254586.9115262,163767281.04003298,5019.090806,15947378.537821002,10097686.870755,6956219.383498,1477487305.871493,0.9994553976654467,0.7674477809401044,0.245392818373019,0.28223002680545295,0.9964377841055428,0.5107218429767605,0.3988148091138509,0.4005904450979362,0.998190549786255,0.01634370444538596,0.999941924328135,0.9990286026037958,0.9985620696750578,0.9979909820848857,0.9994553976654467,0.4992238485305414,0.27834722727060957,11451798.9606595,0.1635456221149605,0.1635977105121905,0.16366918554207516
7.0,1,1474047162.524376,1807448.7796690003,955755097.8430955,294985975.244937,1261372328.436841,210144540.62138897,161772016.330308,6293007236.083676,1633288885.388538,159241722.864162,5018.827087000001,15920084.140686002,10074347.684376,6935054.847141,1474047162.524376,0.9971282914877113,0.7747044722053307,0.25937473274987166,0.29353091091174155,0.9898049604745199,0.544978801714811,0.36973678137598576,0.37143527414147853,0.993345909566466,0.015892061206229085,0.9998893841979531,0.9973187364108022,0.9962540533388962,0.9949545602500022,0.9971282914877113,0.5148503514247843,0.3008660894580434,11427569.493913502,0.16551361737821363,0.16648598647064544,0.16781158752776595
8.0,1,1423055286.643923,1868358.199711,1113900839.9620652,329468230.751361,1156493932.517329,265512455.998568,120958893.52124,4707466972.97958,1542965282.037137,119909995.39321402,5013.394961,15721823.609635,9905698.881723002,6781813.998547001,1423055286.643923,0.9626345226524223,0.800811325487564,0.30229264099876063,0.32784307731452644,0.9075063764740374,0.6885673055440218,0.2764566640377901,0.2778511481116271,0.9384122216383355,0.011966819698711459,0.9988071542213327,0.9848986423610102,0.9795763429304721,0.9729694881077053,0.9626345226524223,0.571068647541268,0.3818805090775382,11251818.804090999,0.15934753575945312,0.17315467326888356,0.19048490595044282
9.0,1,1412774603.490525,1852232.75007,1150538304.299026,340046482.496741,1118178034.644668,277834183.269748,123647026.20574602,4814939909.451211,1519659244.120162,106884640.629637,5011.965484,15702164.681974,9879346.792221,6751526.290159001,1412774603.490525,0.9556800911466361,0.793899672945193,0.3122353894522899,0.33836915018323444,0.8774397062891969,0.7205218837759766,0.28260050491476535,0.28419457632067724,0.9242377803376339,0.010666910784059796,0.9985223628044383,0.9836671025826523,0.9769703800629176,0.9686241881433386,0.9556800911466361,0.5561851483665249,0.36043236619802643,11226845.4860665,0.15910595108023046,0.16820558959827572,0.17994890715636605
