ID,sense,net_econ_value,biodiversity,net_ghg_co2e,carbon,cropland_value,forestry_value,grazing_value,grazing_methane,production_value,transition_cost,nitrate_cancer_cases,ground_noxn,noxn_in_drinking_water,surface_noxn,econ,net_econ_value_normed,biodiversity_normed,net_ghg_co2e_normed,carbon_normed,cropland_value_normed,forestry_value_normed,grazing_value_normed,grazing_methane_normed,production_value_normed,transition_cost_normed,nitrate_cancer_cases_normed,ground_noxn_normed,noxn_in_drinking_water_normed,surface_noxn_normed,econ_normed,biodiversity_normed_urban,biodiversity_normed_econ,avg_noxn,distance,distance_urban,distance_econ,noxn_in_drinking_water_AVG
1.0,0,1242855564.585849,1785468.319851,759112228.1390454,268601570.027462,854334173.9609201,97813943.375142,290707447.249787,11288009764.749094,1242855564.585849,0.0,5016.428004,15471456.681433,72091203.03757277,6787422.60527,1242855564.585849,0.8407373096252534,0.7652832588831735,0.2060093969104293,0.267276650888297,0.670400154042829,0.2536660029042867,0.6644241588032185,0.666257775366956,0.7558892381549405,0.0,0.9994114204064284,0.9692143264825948,0.20707027394275665,0.9737741405522348,0.8407373096252534,0.4945627834595544,0.2716303128918403,11129439.6433515,0.0,0.0,0.0,16.954103108476176
1.0,1,1478292387.3568,1779295.740782,858717056.5160722,273175976.967232,1274364525.1405182,186102901.29351497,183762312.32974505,7146409618.188926,1644229738.7637782,165937351.406978,5019.382310000001,15962884.842593005,77842602.01592591,6970222.685746,1478292387.3568,1.0,0.7626375824670091,0.2330403547354949,0.2718284938523456,1.0,0.4826303640469951,0.4199965324057058,0.4218060644263984,1.0,0.0165602738875712,1.0,1.0,0.0,1.0,1.0,0.4888656043095283,0.2634202870783345,11466553.764169505,0.161561990672441,0.1616407593294784,0.1617488230257064,18.30669270593598
2.0,1,-10006693920.69746,2333081.6388910003,3681723504.223772,1004110335.0293292,115926.200744,47160.092162,18634.955829,719544.1883779999,181721.248735,10006875641.946194,4944.005805,14821286.266181,50079999.13161399,5797238.413085,-10006693920.69746,-6.769089800015488,1.0,0.9991534987592956,0.9991574041861562,9.096784982398764e-05,0.0001223027276331,4.259097924099544e-05,4.247001200548697e-05,0.0001105205948115,0.9986696785527066,0.9849829121703222,0.9284841939493336,0.9995498149677231,0.8317149500747321,-6.769089800015488,1.0,1.0,10309262.339633,7.654648140409937,7.667725411410149,7.685640416127913,11.77760160982837
3.0,1,-10007354317.783527,2331818.218315,3684842728.164964,1004957107.681354,10447236.441406,1492.444159,0.0,0.0,10448728.885565,10017803046.669092,4943.973846,14837299.631509002,50367779.269660965,5800987.896722,-10007354317.783527,-6.769536529696108,0.999458475625139,1.0,1.0,0.0081979969116403,3.87043330744184e-06,0.0,0.0,0.0063547864627609,0.999760215514742,0.9849765450522135,0.9294873563154038,0.9891887337342778,0.8322528788907896,-6.769536529696108,0.99883388559582,0.99831954918255,10319143.7641155,7.655163422121684,7.668179596990628,7.686011074243544,11.845280521088554
4.0,1,375088858.9033541,1987759.197606,1762905668.586652,499938019.076898,203264090.571014,381996831.564123,90101638.263911,3510020068.09869,675362560.399048,300273701.495694,4962.7307980000005,14894038.415269002,55628504.14810288,5936990.0794250015,375088858.9033541,0.2537311712563279,0.8519887021831156,0.47842087129308,0.497471996820202,0.1595023139463184,0.9906523143979368,0.2059311028205343,0.2071736480391666,0.4107470777817353,0.0299668199826069,0.9887134494841856,0.933041775477071,0.7997844260490606,0.8517647637809415,0.2537311712563279,0.6812736150427836,0.5406934240549229,10415514.247347,0.6529181049381056,0.6735318496467918,0.7008417622023426,13.082475466607013
5.0,1,1474627180.0480833,1799058.7650080002,951880263.439286,294288231.53605,1261932797.465284,208673206.8722129,163475564.43491602,6358829276.311533,1634081568.7724133,159454388.72433,5018.721146000001,15932313.042749,77197927.175538,6940404.891929,1474627180.0480833,0.9975206479177844,0.7711083637275372,0.2583231724283978,0.2928366089325289,0.9902447632290586,0.5411631151346243,0.3736303125775186,0.3753203209306191,0.9938280097044134,0.0159132849081928,0.9998682778160408,0.998084819871504,0.023210526048629648,0.9957221174758192,0.9975206479177844,0.5071065192177381,0.2897066962493856,11436358.967339,0.1653834275903798,0.1657561207975914,0.1662663583241767,18.155080813571242
6.0,1,1477487305.871493,1790518.326519,904233942.3257248,283629071.439239,1269824963.5737302,196935012.407738,174494610.930058,6786965980.907573,1641254586.9115262,163767281.04003298,5019.090806,15947378.537821002,77589102.65620103,6956219.383498,1477487305.871493,0.9994553976654468,0.7674477809401044,0.245392818373019,0.2822300268054529,0.9964377841055428,0.5107218429767605,0.3988148091138509,0.4005904450979362,0.998190549786255,0.0163437044453859,0.999941924328135,0.9990286026037958,0.009126854537498072,0.9979909820848856,0.9994553976654468,0.4992238485305414,0.2783472272706095,11451798.9606595,0.1635456221149605,0.1635977105121905,0.1636691855420751,18.247075802602183
7.0,1,1474047162.524376,1807448.7796690003,955755097.8430955,294985975.244937,1261372328.436841,210144540.62138897,161772016.330308,6293007236.083676,1633288885.388538,159241722.864162,5018.827087000001,15920084.140686002,77066051.81878702,6935054.847141,1474047162.524376,0.9971282914877112,0.7747044722053307,0.2593747327498716,0.2935309109117415,0.98980496047452,0.544978801714811,0.3697367813759857,0.3714352741414785,0.993345909566466,0.015892061206229,0.9998893841979531,0.9973187364108022,0.027958495429905892,0.9949545602500022,0.9971282914877112,0.5148503514247843,0.3008660894580434,11427569.493913502,0.1655136173782136,0.1664859864706454,0.1678115875277659,18.124066926971818
8.0,1,1423055286.643923,1868358.199711,1113900839.9620652,329468230.751361,1156493932.517329,265512455.998568,120958893.52124,4707466972.97958,1542965282.037137,119909995.39321402,5013.394961,15721823.609635,73789487.7284131,6781813.998547001,1423055286.643923,0.9626345226524224,0.800811325487564,0.3022926409987606,0.3278430773145264,0.9075063764740374,0.6885673055440218,0.2764566640377901,0.2778511481116271,0.9384122216383356,0.0119668196987114,0.9988071542213328,0.9848986423610102,0.1459261457943399,0.9729694881077052,0.9626345226524224,0.571068647541268,0.3818805090775382,11251818.804091,0.1593475357594531,0.1731546732688835,0.1904849059504428,17.353498492973326
9.0,1,1412774603.490525,1852232.75007,1150538304.299026,340046482.496741,1118178034.644668,277834183.269748,123647026.20574602,4814939909.451211,1519659244.120162,106884640.629637,5011.965484,15702164.681974,73192059.12531208,6751526.290159001,1412774603.490525,0.955680091146636,0.793899672945193,0.3122353894522899,0.3383691501832344,0.8774397062891969,0.7205218837759766,0.2826005049147653,0.2841945763206772,0.924237780337634,0.0106669107840597,0.9985223628044384,0.9836671025826524,0.16743564373927153,0.9686241881433386,0.955680091146636,0.5561851483665249,0.3604323661980264,11226845.4860665,0.1591059510802304,0.1682055895982757,0.179948907156366,17.212997770136884
